slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
irvinky01,Kyrie Irving,BROOKLYN NETS,AWAY,BOSTON CELTICS,WIN,2004,13,21,7,10,4,4,1,5,8,1,0,1,4,33.7
middlkh01,Khris Middleton,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,WIN,1547,10,15,6,8,5,5,0,4,5,2,0,2,2,28.4
davisan02,Anthony Davis,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,WIN,1817,10,16,3,5,5,7,1,7,5,2,0,2,2,25.5
willizi01,Zion Williamson,NEW ORLEANS PELICANS,AWAY,MIAMI HEAT,LOSS,2298,11,20,0,1,10,15,4,10,1,1,0,3,1,24.5
duranke01,Kevin Durant,BROOKLYN NETS,AWAY,BOSTON CELTICS,WIN,2004,9,16,3,4,8,9,0,4,3,2,0,2,3,23.1
jokicni01,Nikola Jokić,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,LOSS,2309,7,13,1,4,9,11,3,6,10,1,0,5,2,23.0
leonaka01,Kawhi Leonard,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,WIN,1821,8,14,2,4,3,3,2,3,7,4,1,2,4,22.7
doncilu01,Luka Dončić,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,LOSS,2048,9,19,2,5,7,8,0,4,7,0,1,3,0,20.7
dragigo01,Goran Dragić,MIAMI HEAT,HOME,NEW ORLEANS PELICANS,WIN,1629,6,11,0,4,6,7,0,2,9,4,0,3,1,19.8
georgpa01,Paul George,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,WIN,2216,8,14,5,9,2,2,0,5,9,1,0,6,1,18.8
jamesle01,LeBron James,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,WIN,1884,8,18,3,8,3,4,1,6,10,1,0,4,0,18.7
harremo01,Montrezl Harrell,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,WIN,1706,10,13,0,1,2,5,5,2,2,1,0,2,4,18.6
ingrabr01,Brandon Ingram,NEW ORLEANS PELICANS,AWAY,MIAMI HEAT,LOSS,2223,7,17,4,8,10,11,0,2,3,0,0,4,0,17.2
robindu01,Duncan Robinson,MIAMI HEAT,HOME,NEW ORLEANS PELICANS,WIN,1922,8,14,7,13,0,0,0,5,0,0,0,1,3,15.7
brownja02,Jaylen Brown,BOSTON CELTICS,HOME,BROOKLYN NETS,LOSS,1832,11,25,0,4,5,9,5,3,3,0,1,2,5,15.5
allenja01,Jarrett Allen,BROOKLYN NETS,AWAY,BOSTON CELTICS,WIN,1287,2,3,0,0,5,6,5,6,1,0,4,1,1,14.7
batumni01,Nicolas Batum,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,WIN,2179,5,8,2,5,1,1,4,6,4,1,1,2,5,14.5
wisemja01,James Wiseman,GOLDEN STATE WARRIORS,AWAY,MILWAUKEE BUCKS,LOSS,1503,5,11,3,4,5,6,3,5,0,0,3,2,4,14.0
