start_time,away_team,home_team
2020-12-23 00:00:00+00:00,GOLDEN STATE WARRIORS,BROOKLYN NETS
2020-12-23 03:00:00+00:00,LOS ANGELES CLIPPERS,LOS ANGELES LAKERS
2020-12-24 00:00:00+00:00,CHARLOTTE HORNETS,CLEVELAND CAVALIERS
2020-12-24 00:00:00+00:00,NEW YORK KNICKS,INDIANA PACERS
2020-12-24 00:00:00+00:00,MIAMI HEAT,ORLANDO MAGIC
2020-12-24 00:00:00+00:00,WASHINGTON WIZARDS,PHILADELPHIA 76ERS
2020-12-24 00:30:00+00:00,NEW ORLEANS PELICANS,TORONTO RAPTORS
2020-12-24 00:30:00+00:00,MILWAUKEE BUCKS,BOSTON CELTICS
2020-12-24 01:00:00+00:00,ATLANTA HAWKS,CHICAGO BULLS
2020-12-24 01:00:00+00:00,SAN ANTONIO SPURS,MEMPHIS GRIZZLIES
2020-12-24 01:00:00+00:00,DETROIT PISTONS,MINNESOTA TIMBERWOLVES
2020-12-24 02:00:00+00:00,SACRAMENTO KINGS,DENVER NUGGETS
2020-12-24 03:00:00+00:00,UTAH JAZZ,PORTLAND TRAIL BLAZERS
2020-12-24 03:30:00+00:00,DALLAS MAVERICKS,PHOENIX SUNS
2020-12-25 17:00:00+00:00,NEW ORLEANS PELICANS,MIAMI HEAT
2020-12-25 19:30:00+00:00,GOLDEN STATE WARRIORS,MILWAUKEE BUCKS
2020-12-25 22:00:00+00:00,BROOKLYN NETS,BOSTON CELTICS
2020-12-26 01:00:00+00:00,DALLAS MAVERICKS,LOS ANGELES LAKERS
2020-12-26 03:30:00+00:00,LOS ANGELES CLIPPERS,DENVER NUGGETS
2020-12-26 22:00:00+00:00,ATLANTA HAWKS,MEMPHIS GRIZZLIES
2020-12-27 00:00:00+00:00,OKLAHOMA CITY THUNDER,CHARLOTTE HORNETS
2020-12-27 00:00:00+00:00,CLEVELAND CAVALIERS,DETROIT PISTONS
2020-12-27 00:00:00+00:00,ORLANDO MAGIC,WASHINGTON WIZARDS
2020-12-27 00:30:00+00:00,PHILADELPHIA 76ERS,NEW YORK KNICKS
2020-12-27 01:00:00+00:00,INDIANA PACERS,CHICAGO BULLS
2020-12-27 01:30:00+00:00,TORONTO RAPTORS,SAN ANTONIO SPURS
2020-12-27 02:00:00+00:00,MINNESOTA TIMBERWOLVES,UTAH JAZZ
2020-12-27 03:00:00+00:00,HOUSTON ROCKETS,PORTLAND TRAIL BLAZERS
2020-12-27 03:00:00+00:00,PHOENIX SUNS,SACRAMENTO KINGS
2020-12-27 20:30:00+00:00,DALLAS MAVERICKS,LOS ANGELES CLIPPERS
2020-12-28 00:00:00+00:00,SAN ANTONIO SPURS,NEW ORLEANS PELICANS
2020-12-28 00:00:00+00:00,ORLANDO MAGIC,WASHINGTON WIZARDS
2020-12-28 00:00:00+00:00,BROOKLYN NETS,CHARLOTTE HORNETS
2020-12-28 00:30:00+00:00,PHILADELPHIA 76ERS,CLEVELAND CAVALIERS
2020-12-28 00:30:00+00:00,MILWAUKEE BUCKS,NEW YORK KNICKS
2020-12-28 01:00:00+00:00,BOSTON CELTICS,INDIANA PACERS
2020-12-28 01:00:00+00:00,GOLDEN STATE WARRIORS,CHICAGO BULLS
2020-12-28 02:00:00+00:00,PHOENIX SUNS,SACRAMENTO KINGS
